[188631.867, 6956574.142]
[189192.262, 6955697.392]
[190650.59, 6954705.495]
[192877.256, 6953944.583]
[193675.784, 6953069.792]
[206325.452, 6629895.605]
[206296.38, 6629929.829]
[206344.926, 6629870.417]
[195575.68, 6711824.78]
[236597.736, 6677228.966]
[238155.897, 6670844.684]
[237725.044, 6669667.417]
[237903.766, 6669876.1]
[237639.202, 6675253.246]
[279109.795, 6652390.998]
[279828.719, 6652258.457]
[276423.224, 6655991.779]
[280945.5, 6659788.495]
[287006.635, 6675942.789]
[286814.855, 6676015.045]
[277432.5, 6687127.706]
[276647.774, 6655807.976]
[272993.618, 6651357.002]
[272917.932, 6651289.584]
[248348.306, 6646284.129]
[280785.927, 6659853.477]
[279699.2, 6654372.7]
[281958.382, 6679465.814]
[255816.3, 6625381.3]
[286729.839, 6648902.669]
[285980.41, 6649023.68]
[264349.62, 6624191.59]
[282152.307, 6681249.297]
[279735.77, 6685512.223]
[280049.844, 6653841.918]
[279167.56, 6654971.444]
[280731.15, 6653036.578]
[277306.383, 6687029.363]
[280375.612, 6653467.407]
[282723.733, 6677730.801]
[83619.003, 6525216.53]
[155147.238, 6524727.981]
[155062.092, 6525383.651]
[126991.58, 6487665.37]
[158087.334, 6535263.076]
[113558.178, 6507533.873]
[80032.14, 6503352.15]
[82646.497, 6516730.402]
[117898.25, 6514504.238]
[125720.594, 6486142.517]
[68821.402, 6627689.446]
[84521.621, 6543008.374]
[84480.796, 6542913.445]
[86960.133, 6534875.778]
[83742.468, 6525053.992]
[270788.6, 7042072.5]
[241927.999, 6962785.241]
[197893.01, 7022615.798]
[198071.653, 7022711.098]
[198642.493, 7022780.308]
[198746.904, 7022789.83]
[270447.469, 7038566.993]
[271490.969, 7039147.135]
[88546.534, 6467502.529]
[88645.922, 6467361.273]
[85536.195, 6465753.234]
[87916.288, 6466888.688]
[94927.018, 6468325.309]
[96879.493, 6469326.274]
[92152.204, 6467646.284]
[88581.464, 6467417.532]
[51108.097, 6459863.667]
[85963.623, 6467399.68]
[77951.613, 6492683.16]
[84637.25, 6473613.204]
[86811.935, 6466937.731]
[51908.207, 6459391.087]
[90573.699, 6468309.579]
[270450.3, 6653372.8]
